datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3.028,14,3,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,8.424,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6.021,14,6,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,15.523,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9.021,14,9,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,20.414,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12.021,14,12,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,19.327,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15.021,14,15,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,27.751,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3.028,14,3,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,6.929,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,5.993,14,6,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,11.583,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9.021,14,9,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,16.882,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12.021,14,12,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,21.773,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15.048,14,15,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,21.501,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3,14,3,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,86.607,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6,14,6,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,95.124,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9,14,9,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,97.146,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12,14,12,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,98.135,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15,14,15,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,98.584,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3,14,3,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,91.011,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6,14,6,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,97.551,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9,14,9,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,98.09,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12,14,12,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,96.067,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15,14,15,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,96.517,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3,14,3,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,96.09,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6,14,6,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,93.101,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9,14,9,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,95.124,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12,14,12,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,97.101,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15,14,15,osmo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,98.135,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3,14,3,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,93.618,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6,14,6,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,94.584,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9,14,9,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,94.584,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12,14,12,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,98.539,NA,NA,4,50,14,unknown,figure 2,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15,14,15,unprimed,0,NA,NA,NA,N,NA,N,NA,NA,Y,per.germ,97.101,NA,NA,4,50,14,unknown,figure 2,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Gadda, Batagram, Pakistan", 34.218611 N,71.625833 E,1410,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,cold strat,4 +/- 2 ,10,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,75,NA,NA,NA,24,180,unknown,Table 1,"Seeds collected in Nov experiment began in Jan, so roughly 60 - 90 days"
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Afzal Abad, Mansehra, Pakistan",34.464444 N,73.135833 E,880,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,cold strat,4 +/- 2 ,10,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,50,NA,NA,NA,8,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Muzaffar Abad, Azad Jammu and Kashmir, Pakistan",34.358333 N,73.472222 E,716,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,cold strat,4 +/- 2 ,10,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,71.42,NA,NA,NA,7,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Gadda, Batagram, Pakistan", 34.218611 N,71.625833 E,1410,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,cold strat,4 +/- 2 ,15,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,95.45,NA,NA,NA,44,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Gadda, Batagram, Pakistan", 34.218611 N,71.625833 E,1410,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,cold strat,4 +/- 2 ,20,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,76.31,NA,NA,NA,38,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Gadda, Batagram, Pakistan", 34.218611 N,71.625833 E,1410,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,scarification,NA,NA,,NA,greenhouse,NA,NA,NA,Y,Seed coat removed,N,NA,NA,N,per.germ,100,NA,NA,NA,21,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Muzaffar Abad, Azad Jammu and Kashmir, Pakistan",34.358333 N,73.472222 E,716,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,scarification,NA,NA,,NA,greenhouse,NA,NA,NA,Y,Seed coat removed,N,NA,NA,N,per.germ,66.6,NA,NA,NA,6,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Afzal Abad, Mansehra, Pakistan",34.464444 N,73.135833 E,880,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,scarification,NA,NA,,NA,greenhouse,NA,NA,NA,Y,Seed coat removed,N,NA,NA,N,per.germ,60,NA,NA,NA,5,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Afzal Abad, Mansehra, Pakistan",34.464444 N,73.135833 E,880,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,scarification,NA,NA,,NA,greenhouse,NA,NA,NA,Y,Seed coat removed,N,NA,NA,N,per.germ,100,NA,NA,NA,8,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Muzaffar Abad, Azad Jammu and Kashmir, Pakistan",34.358333 N,73.472222 E,716,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,scarification,NA,NA,,NA,greenhouse,NA,NA,NA,Y,Seed coat removed,N,NA,NA,N,per.germ,83,NA,NA,NA,6,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Afzal Abad, Mansehra, Pakistan",34.464444 N,73.135833 E,880,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,control,NA,NA,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,28.57,NA,NA,NA,7,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Muzaffar Abad, Azad Jammu and Kashmir, Pakistan",34.358333 N,73.472222 E,716,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,control,NA,NA,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,30,NA,NA,NA,10,180,unknown,Table 1,
zulfiqar15,exp 1,JS,Quercus,glauca ,Thunb.,Y,N,"Gadda, Batagram, Pakistan", 34.218611 N,71.625833 E,1410,Asia,NA,2013,2014,airtight polyethylene bags,~ 90,NA,room temp,control,NA,NA,,NA,greenhouse,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,22.22,NA,NA,NA,9,180,unknown,Table 1,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,control,NA,0,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,43.3,NA,NA,4,100,14,end of cold strat,Table 2,"I don't know if ""(L.) Sweet"" is a variety or part of the species name"
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,control,NA,0,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,36,NA,NA,4,100,14,end of cold strat,Table 2,AUGPC stands for area under the germination progress curve
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,7,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,66.3,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,7,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,54.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,14,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,71,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,14,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,65.3,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,21,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,75.3,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,21,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,69.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,control,NA,0,25,1.5h red light,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,75.3,NA,NA,4,100,14,end of cold strat,Table 2,Duration of chemical is that they were soaked in ethephon for the duration of the experiment (were never dried) 
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,control,NA,0,25,NA,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,74,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,7,25,1.5h red light,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,82.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,7,25,NA,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,81.8,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,14,25,1.5h red light,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,84.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,14,25,NA,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,76.3,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,21,25,1.5h red light,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,83,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 1,JS,Heliopsis,helianthoides,Loraine Sunshine,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2003,2004,dry,83,NA,4,cold strat,4,21,25,NA,0,Ethephon,144.5,14,N,NA,N,NA,NA,N,per.germ,76.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,control,NA,0,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,1.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,control,NA,0,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,1.8,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,7,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,11,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,7,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,3.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,14,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,15.3,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,14,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,10.8,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,21,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,19.8,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,21,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,12.5,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,42,25,1.5h red light,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,31.3,NA,NA,4,100,14,end of cold strat,Table 2,
zlesak07,exp 2,JS,Heliopsis,helianthoides,Prairie Sunset,N,N,"University of Minnesota, St. Paul campus, USA",45 N,93.16667 W ,NA,North America,NA,2004,2004,dry,13,NA,4,cold strat,4,42,25,NA,0,Ethephon,0,0,N,NA,N,NA,NA,N,per.germ,28.3,NA,NA,4,100,14,end of cold strat,Table 2,
